Author,Message
__ted,!mrank <@311508761204359170> construction
KSF Bot,Removed surf_construction from your todo list!
b_ly,!removetodo construction
KSF Bot,"Invalid Usage:
!removetodo [mapName]"
b_ly,!removetodo construction top
KSF Bot,
b_ly,!todo
KSF Bot,Added surf_metallic top to your todo list!
b_ly,!addtodo metallic top
KSF Bot,Added surf_imagine_fix top to your todo list!
b_ly,!addtodo imagine_fix top
b_ly,DOg
KSF Bot,
b_ly,!todo
KSF Bot,
b_ly,!mrank construction
b_ly,fym bruh
KSF Bot,
b_ly,!todo
KSF Bot,
b_ly,!todo
KSF Bot,Added surf_construction top to your todo list!
b_ly,!addtodo construction top
lurchente,https://tenor.com/view/tv-shows-gordon-shumway-alf-music-piano-gif-14859286
tucks.,https://tenor.com/view/dickrider-above-gif-25666549
__ted,Tuck this dick in
lurchente,SPEC [κѕғ] twitch.tv/txcks :  im not tucks im supertucken_the_tuck #tuckli
lurchente,what does that mean
tucks.,<:hmmmCoffeeSmile:480455316262354954>
lurchente,when tucks stream tho
tucks.,i tried n was still getting shit units
lurchente,but im to stupid do crouchboard so not for me
lurchente,myb crouchboarding 4th is win
lurchente,levi is closing up on him tho
tucks.,ye
lurchente,.1 he said
lurchente,but he lost a lot on last
lurchente,williams units are nonsense
tucks.,never matched his units there
tucks.,fkn imp
tucks.,still am doing it
tucks.,ye i was doing same
lurchente,just went to low
lurchente,transition from third to 4th
tucks.,where
lurchente,loc took me like 40 min at first now i can do it pretty conistantly
lurchente,gonna demolish the bonus
lurchente,i found a flaw in my surf
lurchente,ripo
tucks.,tilted
tucks.,choked last ramp -22
tucks.,<@623573981705797649> played it for another 2 hrs
KSF Bot,
pokimanesfeet,!top cubic
KSF Bot,
pokimanesfeet,!top surf_y
tucks.,Was high with 1600+
tucks.,Was just about enough units
lurchente,https://www.youtube.com/watch?v=CyHeMabEYZY i dont even know how this made it tho
tucks.,Tomorrow maybe
tucks.,In bed gg
lurchente,do it egain 🙂
tucks.,Onto 3rd I mean
tucks.,I locced it after n was fine
tucks.,Me crouching onto it was deffo trolling tho
lurchente,i think i go up to erly on it
lurchente,but i cant get it conistantly good enoth to say i understand  it
lurchente,well i loced it too
tucks.,U MADE IT
lurchente,i dont quite  understant that ramp yet
tucks.,And then keep going up
tucks.,Think u flick up onto it
lurchente,o true
tucks.,Which I think is the play
tucks.,He was higher onto it
lurchente,u had same as william tho
lurchente,🙂
tucks.,ye fun
lurchente,did u enjoy ASSail b4 tho?
lurchente,o izi
tucks.,gg.....
tucks.,then my brain forgot how to do 2nd last for an hour
tucks.,i nearly 1shot it
lurchente,well axiom is super easy to this bonus
tucks.,lost like 30 units between
tucks.,i was crouching it
tucks.,but that 3rd to 4th transition
tucks.,but yea my run wouldve been faster
tucks.,did axiom
tucks.,2nd
lurchente,i have same on last but its imp flick
lurchente,u had sooo ggd units to last
lurchente,bruh
lurchente,<@260064252985999360> i that the first b4 u ever did? xD
b_ly,🥹
b_ly,"[Surf Timer] - Checkpoint [1] [SaveLoc] 00:10:93 (WR +00:00:13)
[Surf Timer] - ""renebaebae"" location Saved: #10. Use sm_tele #10 with SurfTimer disabled. To Recreate use: sm_saveloc -2609|-1330|1398|30|110|0|-1330|3393|-2233
[Surf Timer] - Map finished [SaveLoc] in 00:18:38 (WR +00:00:11)"
b_ly,ok guess ive been foreced to use cjump bind
b_ly,how much do you lose on pres
b_ly,😭
b_ly,still cant do cp1
b_ly,just matched wr cp2 in loc lol
tucks.,Cp2 free
tucks.,Ye
b_ly,if I can get like +.07 wr cp1 then I can just luck out cp2
tucks.,That’s all it’s about
tucks.,Just put ur spray where he lands so u know where it is
b_ly,ye doing that
tucks.,Land same place he does
b_ly,will try
tucks.,Without inting units
tucks.,Stay low as u can around corner
b_ly,which is immediately out of top
b_ly,best ive locced is +.13 wr cp1
b_ly,just not a unit surfer
b_ly,could probably get a better cp2 but idk how to get a good cp1
b_ly,skill issue preventing
b_ly,trying g
KSF Bot,
tucks.,!cpr <@311508761204359170> leet
tucks.,Gamer
tucks.,Run up top10 real quick
b_ly,so thats a L
b_ly,actually I -.00 his cp2
b_ly,matched top10 cp2
b_ly,cant do cp1
b_ly,got this randomly lol
b_ly,<@260064252985999360>
KSF Bot,
b_ly,!mrank leet
ellyever,<:Chadge:1028129934151012352>
iwannabeyours,So washed don’t stream pls
tucks.,https://www.youtube.com/watch?v=mhzlXZo-YDI
lurchente,o
lurchente,i can hardly g1 that map doesnt make sense to me
tucks.,Well I choked -05 runs
lurchente,What did u loc?
tucks.,Still bad I want him to rebeat so I can improv E
lurchente,ez wr
lurchente,¯\_(ツ)_/¯
tucks.,Randomely went away
lurchente,<@260064252985999360> seems like u fixed it
KSF Bot,
pokimanesfeet,!mi goliath
KSF Bot,
pokimanesfeet,!mi devil
tucks.,Dno what it could be
tucks.,It’s only recent that it’s stuttering
tucks.,I have it on 400 locked with nvidia
lurchente,Fps_max
lurchente,myb
lurchente,O
tucks.,Stutters are THAT bad
tucks.,I got a 597 pre and quit
tucks.,I would
lurchente,U gonna go for boreas wr sometime?
lurchente,😦
tucks.,So demotivating losing 20 units for free
tucks.,I opened up css twice and just stuttered n quit
tucks.,Been so busy with uni :/
KSF Bot,
lurchente,!rp <@260064252985999360>
KSF Bot,
lurchente,!p
KSF Bot,
pokimanesfeet,!p
donoes,<:WEIRD:767291576036229141>
KSF Bot,"You don't appear to have a steamID linked to your account.
Type !link to start the setup."
donoes,!p
KSF Bot,
arxxy,!p
tucks.,Good 1
careful_,<@260064252985999360> now take cyberwave
KSF Bot,
careful_,!cpr #3 boreas
KSF Bot,
careful_,!cpr #2 boreas
KSF Bot,
careful_,!cpr #8 boreas
KSF Bot,
careful_,!top boreas
KSF Bot,mtop is no longer supported. You can use `!top [mapName]` instead.
careful_,!mtop boreas
KSF Bot,
arxxy,!p #6
KSF Bot,
pokimanesfeet,!todo
KSF Bot,
tucks.,!todo
KSF Bot,
arxxy,!cpr surf_pls
KSF Bot,
arxxy,!cpr surf_ps
KSF Bot,
arxxy,!pr surf_pls
KSF Bot,
arxxy,!top10hist
louieismyname,<:B1:230194951567310849>
__ted,We like to party
__ted,Lody dody
mako__o,money bag emoji
louieismyname,money with wings emoji
KSF Bot,
mako__o,!prinfo #2 lody
KSF Bot,
louieismyname,!top lody
KSF Bot,
tucks.,!cp #2
KSF Bot,
arxxy,!prinfo surf_valpect #1
KSF Bot,"Invalid Usage:
!prinfo [mapName] [@player|#rank] or !prinfo [mapName] [@player|#rank] [sX|bX]"
arxxy,!prinfo
KSF Bot,
arxxy,!cpr #2 surf_edge
KSF Bot,"Invalid Usage:
!cpr [@player|#rank] [mapName]"
arxxy,!cpr
tucks.,not playing this shit
tucks.,so cancer
tucks.,locced it just now
zeote,surely u wr activation <@260064252985999360>
KSF Bot,
tucks.,!m undergrowth
KSF Bot,
tucks.,!mi undergrowth
tucks.,neva
zeote,when u getting up there g
KSF Bot,
tucks.,!st
KSF Bot,
strig1,!st
KSF Bot,
arxxy,!prinfo surf_treefort #1
KSF Bot,"Invalid Usage:
!prinfo [mapName] [@player|#rank] or !prinfo [mapName] [@player|#rank] [sX|bX]"
arxxy,!prinfo
kingyoshi.,<a:Nerd:929019631782490132>
tucks.,We just too smart <:weSmart:752947831014293544>
louieismyname,batman was wondering why ppl don't use showtriggers to find more skips
kingyoshi.,"""Chipzy and some other people from tucks' discord had a day where they went around old maps checking them, it's how they did a few dumb wrcps, some of which have been removed""
""Only one that i know they found for sure was s2 of surf_ripper where the endzone has a random clip halfway in the air you can hit for a faster finish""
""Oh and a dumb eclipse skip on s2 that got removed"" - Louie aka <a:hot:843895776902905856>"
kingyoshi.,"Nah, ill just post what he said here, hol on"
tucks.,Louie talkin SHIT?! <:CmonBruh:791356161307705386>
kingyoshi.,"Which btw, thanks <@206847522109390848> <:SCWblushHEART:753106557906190448>"
kingyoshi.,"Bruh, i only figured it out cuz i saw louie mention ""tucks discord"" <:PepeKMS:547215107407740929>"
tucks.,It’s ok I’m crying now.
kingyoshi.,I didn't know you had a discord this whole time lmao
pokimanesfeet,<:pokiHey:638796044515278848>
kingyoshi.,<:pepeSweat:843895530870013975>
tucks.,Put hand down.
kingyoshi.,<:PES_Hi:778290395519778827>
tucks.,?p kinda goated tbh
weazr,Rossberg coming
pokimanesfeet,that makes sense
pokimanesfeet,oh
tucks.,gives perfect height
tucks.,rngfix top of it
tucks.,na u just dont hold space
pokimanesfeet,the booster is the most fried shit of all time
tucks.,fun map!
pokimanesfeet,im worse tho so its fine
pokimanesfeet,<@260064252985999360> you are mentally unwell
KSF Bot,
pokimanesfeet,!top graphia
careful_,literally every map that whole time was dogshit 10yr old map
tucks.,W map
pokimanesfeet,graphia fried map
careful_,i didnt know any map that popped up
careful_,bro
careful_,💀
tucks.,WOA GRAPHIA
tucks.,are u gonna win
KSF Bot,
tucks.,!cp <@387618687840026625>
pokimanesfeet,never seen it once
tucks.,Classic 2012 mapping
pokimanesfeet,not on gfl then
tucks.,Just has blockers
tucks.,H is basically same
pokimanesfeet,the _h
KSF Bot,
tucks.,!mi skill8
tucks.,Normal ones not hard
pokimanesfeet,maybe just legit never on cuz hard
tucks.,Maps not too bad just boring
pokimanesfeet,it was the aussie one
pokimanesfeet,so thats why
pokimanesfeet,ive only seen this on one csgo server
pokimanesfeet,oooh
tucks.,I might learn them tbh
tucks.,Normally ppl wr both
tucks.,Long maxvel
tucks.,2 identical maps
pokimanesfeet,dont even know the map
pokimanesfeet,sheeeesh
tucks.,🐐
tucks.,Owning remkoe in 2015
tucks.,<@621314645772337152>
KSF Bot,
tucks.,!top skill8_h
KSF Bot,
bueno7888,!top replicant
Deleted User,momentum <:Prayga:756457679131508757>
KSF Bot,
pokimanesfeet,!top utopia
KSF Bot,
pokimanesfeet,!top island
pokimanesfeet,dont want more drama here either this isnt the place
zeote,<:mmhuu:924725516060213268>
pokimanesfeet,you might be banned!
pokimanesfeet,no one respond to this if u care about ksf just read it
pokimanesfeet,thats such a joke.
pokimanesfeet,should not have to share the server price with 10 other people
pokimanesfeet,its sad.
pokimanesfeet,cuz you just get banned
pokimanesfeet,but no one says anything
pokimanesfeet,everyone agrees they are overpriced
pokimanesfeet,its fine
pokimanesfeet,or at the very least just reads it
pokimanesfeet,and thinks about it
pokimanesfeet,maybe the owner reads it
pokimanesfeet,its what I wanted
zeote,<@621314645772337152> <a:movingwaaaa:825174423937351680>
KSF Bot,
pokimanesfeet,!top kloakk
KSF Bot,
pokimanesfeet,!leastlenient
KSF Bot,
pokimanesfeet,!top boreas
KSF Bot,
pokimanesfeet,!top cyberwave
.exper,the overall profit will be huge as to host the servers he either has a dedicated server or just buys a vps to host which wont take that much in resources
Deleted User,taiikii let me in his but his doesn't exist anymore <:sadGe:873600531287916594>
Deleted User,gfl is selling privs for $15 rn to aussies and costs more to run csgo servers
Deleted User,only reason I'll never play ksf seriously even though I really want to is cause of priv costs and cant find someone that will let me in for like $15
Deleted User,same with eu 13 servers
Deleted User,16 servers are hosted on one server that costs 139 max
Deleted User,yea I did the math ksf owners making 2.5k-3k  a month off privates
KSF Bot,
Deleted User,!rank
pokimanesfeet,real moroccan queen
tucks.,
pokimanesfeet,<a:BOOBADETECTED:803378649293389874>
pokimanesfeet,pfp
KSF Bot,
careful_,!rp
pokimanesfeet,$P
royalerino,$p
pokimanesfeet,kinda mean
Deleted User,😴
pokimanesfeet,ye ik im gettin farmed lately
Deleted User,fell off
tucks.,21 r2s
tucks.,gettin farmed gg
KSF Bot,
tucks.,!pi
KSF Bot,
pokimanesfeet,!RANK
KSF Bot,
pokimanesfeet,!PI
pokimanesfeet,<:sadgi:928386056787750983>
pokimanesfeet,AND NOW ITS NOT EVEN G1 AFTER UPDATE
pokimanesfeet,GOT RANK 40
pokimanesfeet,YE IK SHIT WAS HARD TO G1 ON GFL
tucks.,not done it in loc once and gone +00 ever
tucks.,180 into last cp too hard
pokimanesfeet,good map
pokimanesfeet,lazy tucky no retake
KSF Bot,
pokimanesfeet,!top kloakk
pokimanesfeet,wow josh took kloakk
mako__o,I guess depends on which eu country really
__ted,Compare salaries and expenses
__ted,Is what I meant
__ted,Not in actual currency rates
mako__o,1usd = 1euro
pokimanesfeet,<@224875812602642432>
pokimanesfeet,With 200 more maps as well
pokimanesfeet,Gfl servers with same slots and just as many features are $30
pokimanesfeet,Not even close to fair considering we somewhat know the cost is nowhere near $100
__ted,So I dont think anything will change anytime soon
__ted,But to us with real currency its a lot
__ted,Coffee in usa is like 10 bucks
__ted,Bit over 3 bucks a day
__ted,So to americans 100 might even seem pretty fair
__ted,100usd is like equal to 200€
pokimanesfeet,in 2027 maybe
granis,release soon™ copium
pokimanesfeet,<:Copege:891401443129589780>
granis,or momentum mod :)
pokimanesfeet,lower priced privates would solve it butowners just greedy
granis,ye shits unfair
pokimanesfeet,"reason why is because it is straight up not fun and maps are extended for hours, no way you get a map u want unless its weird hours"
pokimanesfeet,I cant play on ksf anyways as a new player cuz I dont have a private so idk why I even comment tbh
granis,ye im just giving you my pov
pokimanesfeet,if u guys wanna keep it the same its completely fine
pokimanesfeet,I only want like 2 maps changed tiers so its really not that big of a deal
granis,ye but its like tier 4
pokimanesfeet,id say thats why its unpopular
pokimanesfeet,isnt jushched a pretty long linear
granis,clavius do be very hard for a tier 5 but its also not a very popular map
granis,jusched is one of the easiest tier 6 maps out there and it has much less completion than pretty much all other tier 6 maps because noone likes playing it
granis,<@621314645772337152> this is why i disagree btw ^^
KSF Bot,
granis,!mi jusched
pokimanesfeet,tier 5 <:Copege:891401443129589780>
KSF Bot,
pokimanesfeet,!mi clavius
pokimanesfeet,surfs like shit
pokimanesfeet,how did destruction win 2nd place that map is fucking horrid
KSF Bot,
careful_,!mrank instantdeath
KSF Bot,
pokimanesfeet,!toppc
KSF Bot,
pokimanesfeet,!top exonic b3
pokimanesfeet,thats the only map I can get above 320 pre on
pokimanesfeet,x couldnt beat hourglass <a:NOOO:828838313913090098>
pokimanesfeet,hooooly ez
tucks.,onwards and upwards boys
tucks.,2 followers
tucks.,sheeeesh
tucks.,
pokimanesfeet,x dizzy poke jesse
tucks.,was x playin or smthn
pokimanesfeet,u prob got some
pokimanesfeet,idk check new followers
tucks.,did i win
KSF Bot,
pokimanesfeet,!mrank surf_cyberwave
pokimanesfeet,im convinced no one ever beats that hourglass rec that map is THE most boring map in surf
pokimanesfeet,<:pokiEZ:638796044590645248>
pokimanesfeet,tucks promoted to 100k viewers
madhunter1000,its not vpn its called being indian
__ted,K
KSF Bot,
hdog6481,!ctop morocco
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
hdog6481,!ctop Morocco 10
__ted,Fuck you
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop 11 morocco
__ted,Uh
KSF Bot,"Invalid Usage:
!st"
__ted,!st 11 morocco
__ted,Lmao
__ted,Theres legit 10 people on morocco st
tucks.,R1 Morocco
tucks.,Surely she went home and played css
tucks.,I mean real pokimane
pokimanesfeet,No private <:sadgi:928386056787750983>
tucks.,Where pokimane
KSF Bot,
pokimanesfeet,!ctop Morocco
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
pokimanesfeet,!ctop morroco
KSF Bot,
pokimanesfeet,!prinfo surf_cyberwave
KSF Bot,
hdog6481,!ctop india
__ted,why are you on a vpn
madhunter1000,racist fuck
__ted,Indian call centre boy
KSF Bot,There is no linked steamID to the given user.
__ted,!crank <@270319994703839233>
KSF Bot,
arxxy,!prinfo surf_rands #7
KSF Bot,"Invalid Usage:
!prinfo [mapName] [@player|#rank] or !prinfo [mapName] [@player|#rank] [sX|bX]"
arxxy,!prinfo
pokimanesfeet,🐐
pokimanesfeet,Ikik
granis,gamer
KSF Bot,
pokimanesfeet,!PI
KSF Bot,
careful_,!top andromeda
KSF Bot,
careful_,!top tendies
KSF Bot,
arxxy,!top surf_rands
zeote,nice
tucks.,He had to take a nap after finishing it
tucks.,Cooked him a burger
tucks.,He schleeping
zeote,<a:PETTHEBERNUD:744687389435232296>
zeote,do that irl
zeote,<a:PETTHEBERNUD:744687389435232296> <@260064252985999360>
pokimanesfeet,<:pokiSussy:989479537647681586>
tucks.,Huh
tucks.,I’ll give him top
pokimanesfeet,he can top easy lol
tucks.,Just currently on mobile data so can’t open twit h
tucks.,Im back tomorrow night if he actually needs help
pokimanesfeet,the legend
pokimanesfeet,<:pokiAww:638796043689000981>
tucks.,Baby
tucks.,
pokimanesfeet,<a:FeelsWeakMan:929019403301969921>
pokimanesfeet,dogsitting giggles
pokimanesfeet,<a:NOOO:828838313913090098>
tucks.,Dogsitting duty
tucks.,I’m not home :’(
pokimanesfeet,<:prayge:827970344865890324>
pokimanesfeet,zero needs coaching @ twitch.tv/zero2__ <@260064252985999360>
KSF Bot,
pokimanesfeet,!rrtop10
careful_,💀
turtlee42,but got banned there so <:TriShrug:697131723888132156>
turtlee42,i like the way it looks on ksf discord
KSF Bot,
tucks.,!rr
tucks.,could just !rr
tucks.,not sure how would do i
turtlee42,can we somehow get the wr bot
KSF Bot,
pokimanesfeet,!top gleam2
KSF Bot,
pokimanesfeet,!top gleam2
KSF Bot,
pokimanesfeet,!top gleam
KSF Bot,
careful_,!top andromeda
pokimanesfeet,fishoo #1 on the best map in surf history W
tucks.,https://media.discordapp.net/attachments/757015217279467520/996072668346470440/Buratino.gif
pokimanesfeet,<a:squadLate:808884409817366538> <@260064252985999360>
KSF Bot,
pokimanesfeet,!top leet
granis,Problem is that can interfere when just cutting the angle close
tucks.,so just put one on tip
tucks.,cant slide unless u hit the very edge
tucks.,trigger the front of it?
zeote,<:mmhuu:924725516060213268>
zeote,ksf rules
granis,same goes for a bunch of slides
granis,theres no way to block it so only way to enforce it would be to manually ban ppl who do it which is a horrible way to do it
tucks.,but up to others i guess
tucks.,*technically* not disallowed then
granis,that one just has nojump
zeote,pretty sure i hit the middle of it a few times and didnt fail but idk
tucks.,If none of it’s triggered then I don’t see why not allowed
tucks.,Technically fine unless 80% is triggered
zeote,kinda weird ppl just pick and choose what u can and cant slide
zeote,no dont think so
tucks.,Is it triggered
zeote,slid that
zeote,
tucks.,Or did u do some goofy ahh shit
tucks.,Wait is sliding not allowed
zeote,<:PepeLa:780756256582533171>
KSF Bot,
zeote,!reports
tucks.,W
zeote,sup
KSF Bot,
tucks.,!rp <@662464835644162058>
granis,🐌
KSF Bot,No record found.
granis,!mrank boreas
pokimanesfeet,holy <:snailge:955874509951471626>
KSF Bot,
pokimanesfeet,!mrank boreas
beafi,gtg
usrnm.,<@205938923040407552> take that
tucks.,W
fluuupsi,phew
KSF Bot,
fluuupsi,!top lament b1
KSF Bot,
pokimanesfeet,!top anubis
KSF Bot,
careful_,!rp
__ted,<:PokiChamp:751944731361017907>
__ted,Only 2 more weeks till next sub grab
KSF Bot,
__ted,!rp <@260064252985999360>
pokimanesfeet,tier 6 with cheese
pokimanesfeet,sam <a:OuttaPocket:839730563636002816>
zackattackk6,<a:kek:796574053996560424>
zackattackk6,thinking its a map
KSF Bot,
pokimanesfeet,!top surf_revolution b3
KSF Bot,"Invalid Usage:
!top [mapName] or !top [mapName] [sX|bX]"
pokimanesfeet,!top blackheart
KSF Bot,mtop is no longer supported. You can use `!top [mapName]` instead.
pokimanesfeet,!mtop blackheart
KSF Bot,
arxxy,!m surf_frey2
KSF Bot,
arxxy,!mi surf_frey2
KSF Bot,"Invalid Usage:
!mi [mapName]"
arxxy,!mi
twox_ru,<:wtf:929021296665329674>
ellyever,<:BloodTrail:853016202293280829>
proga,probably my greatest achievement
pokimanesfeet,<@229298129197858827> beat it <:FeelsStrongMangi:935943201238421585>
rulldar,i see
rulldar,idk
tucks.,Ye I just clip entire game and use Lossless Cut to crop the actual clip
weazr,<@254341094312116225> when trikz
rulldar,instant replay thingy?
tucks.,It’s so op
tucks.,Shadowplay on 20 mins
ellyever,https://tenor.com/view/rico-rr87-bad-no-hair-smooth-gif-13737113
ellyever,I try to be cool)
rulldar,are u cool?
ellyever,<:hmm:843860362386341889>
ellyever,you said you add cool dudes
rulldar,go for it
rulldar,<a:INSANECAT:977033883759550474>
ellyever,<@254341094312116225> know that I still want to add you to steam)
ellyever,😎
rulldar,just in case something sick happens
rulldar,i need to start recording my games
ellyever,<:BloodTrail:853016202293280829>
tucks.,nova best gun in csgo (only with candy apple skin)
tucks.,
ellyever,"how levi made such a gif, i want too..."
tucks.,i do the nae nae
ellyever,this is just the best gif with you i think
ellyever,I saw the gif on Levi's stream xDD
tucks.,🦣 🤝
ellyever,🦣
ellyever,who managed to make such a gif...
tucks.,that me ye
ellyever,ye?
ellyever,u
ellyever,this
ellyever,no no no
tucks.,discord lol
tucks.,
ellyever,where on the internet are these gifs...
ellyever,https://giphy.com/gifs/iIYwAP5SzpfhEciMJF
ellyever,dolbaeb...
tucks.,https://tenor.com/view/dolboeb-premium-roflan-gif-15028690
tucks.,<a:wow:899810287862042666>
ellyever,
ellyever,"alias ""+spinbot"" ""m_yaw 666"";
alias ""-spinbot"" ""m_yaw 0.022"";
bind ""q"" ""+spinbot"""
ellyever,I have a cool spinbot for csgo
ellyever,hahahaha
tucks.,custom made british spinbot real and legit
tucks.,do u like my spinbot
ellyever,<:WICKED:841569286971064330>
ellyever,i
ellyever,o_o
rulldar,deagle users <:Gigachad:928779264990511104>
tucks.,i just always bought scout or nova lol
tucks.,ive never played csgo properly
ellyever,🦣
rulldar,what a baby
rulldar,im down to play csgo another time
tucks.,and fish perma crying about wisdom tooth smh
tucks.,daniel wakes up like 1am lol
ellyever,
rulldar,<@260064252985999360> when valo
ellyever,I thought to invite mm to cs go
rulldar,i do play wingman on csgo
ellyever,valorant
ellyever,аа
tucks.,hes a valorant owner
rulldar,my aim is crisp
ellyever,<:Clueless:929772335433666611>
ellyever,сan you shoot csgo?
ellyever,u aimer?
ellyever,<@254341094312116225> wtf aim lab
KSF Bot,Player is not online
hdog6481,!cp #20
tucks.,zz
KSF Bot,Player is not online
tucks.,!cp #10
KSF Bot,Player is not online
tucks.,!cp #9
KSF Bot,Player is not online
tucks.,!cp #8
KSF Bot,Player is not online
tucks.,!cp #7
KSF Bot,Player is not online
tucks.,!cp #6
KSF Bot,Player is not online
tucks.,!cp #5
KSF Bot,Player is not online
tucks.,!cp #4
KSF Bot,Player is not online
tucks.,!cp #3
KSF Bot,Player is not online
tucks.,!cp #2
KSF Bot,Player is not online
tucks.,!cp #1
KSF Bot,Player is not online
tucks.,!cp
KSF Bot,
tucks.,!gorank #150
KSF Bot,
tucks.,!gorank #200
KSF Bot,
careful_,!top echo
KSF Bot,mtop is no longer supported. You can use `!top [mapName]` instead.
careful_,!mtop echo
KSF Bot,
arxxy,!m surf_lodypreview
KSF Bot,
arxxy,!mi surf_lodypreview
Deleted User,This interaction has gone stale. Please re-enter the command and try again.
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
tucks.,https://tenor.com/view/dirty-docks-shawty-triflin-shawty-triflin-she-gif-22455514
__ted,just need to whip a bit
__ted,https://giphy.com/gifs/iIYwAP5SzpfhEciMJF
tucks.,yep so hard doing university work when i just get home and sleep lol
kahvo,that actually sucks
tucks.,hard to play game / be entertaining when im 1hp
tucks.,i feel bad not streaming but actually got chronic fatigue from illness so i sleep 90% of the day for past 2 years
kahvo,:monkaS:
tucks.,hopefully i get medication for it
tucks.,dw ill stop being so tired soon
kahvo,F
tucks.,i got so inconsistent at surf that i couldnt get past cp2 last time i tried loccing it
KSF Bot,No record found.
kahvo,!mrank <@260064252985999360> surf_spectra
tucks.,Nah I played but I got off super quick
__ted,He lied ❗
KSF Bot,
__ted,!rp <@260064252985999360>
KSF Bot,Added all to this channel's whitelist
tucks.,!whitelist add all
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop lietuva
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop ltu
KSF Bot,
surfsam,!ctop de
surfsam,?
KSF Bot,Nothing found
surfsam,!ctop lit
surfsam,?
KSF Bot,Nothing found
surfsam,!ctop lith
__ted,🤓  i have backdoored ksf now ill rule you all
surfsam,did not know
surfsam,insecure setup on my end
surfsam,or rather
surfsam,nah security leak with mongodb apparently
tucks.,Reverse engineered ur bot or somethin
tucks.,What’s that mean
surfsam,bruv read ksf updates
tucks.,Ur a mong db lol
granis,fkn mong
surfsam,<:WaitWhat:545273956274536486>
surfsam,the fuck it wiped the mongo db again
surfsam,ok its definitely broken wtf
surfsam,I accidentally wiped it but like
surfsam,<:monkaW:633206548537278464>
surfsam,when was that
surfsam,um
tucks.,It’s unwhitelisted and unlinked all lol
tucks.,<@146661933888569344> did u wipe it
tucks.,What the
Deleted User,
KSF Bot,"You don't appear to have a steamID linked to your account.
Type !link to start the setup."
tucks.,!p
KSF Bot,Added all to this channel's whitelist
tucks.,!whitelist add all
tucks.,!p
surfsam,bot dead?
surfsam,!p
tucks.,https://tenor.com/view/dirty-docks-shawty-triflin-shawty-triflin-she-gif-22455514
Deleted User,This interaction has gone stale. Please re-enter the command and try again.
surfsam,<a:modCheck:741935892608057366>
surfsam,"!ctop ""lith"""
surfsam,nah my input validation for that might be fucked
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
__ted,Aftwr untouch updated
__ted,Something to do with geo locations
surfsam,<:hmmge:945300263886000209>
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
surfsam,"!ctop ""lithuania"""
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop Republic of Lithuania
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,"!ctop ""Republic of Lithuania"""
tucks.,Guernsey chad country
blink1,95% of country points are his
blink1,you'll never be as chad as guernsey paul
__ted,😎
__ted,Also in order of best top to bottom
__ted,Baltics are all next to each other
__ted,Also just noticed
__ted,Lol
__ted,1/10th of countries points are mine
__ted,Chad moment
KSF Bot,
__ted,Atleast more points than latvia
tucks.,!ctop
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
tucks.,!ctop 36
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
tucks.,!ctop @36
__ted,Lol
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop #36
KSF Bot,
__ted,!ctop
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop “Lithuania”
__ted,But forgot
__ted,I think I once found how to
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
tucks.,!ctop 370
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
tucks.,!ctop +370
__ted,If u could take a look
__ted,<@146661933888569344>
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
tucks.,!ctop rlt
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop “republic of lithuania”
KSF Bot,Nothing found
__ted,!ctop LT
__ted,Cuz it went Lithuania -> republic of lithuania
KSF Bot,Nothing found
tucks.,!ctop lith
blink1,likely story
tucks.,Gg
__ted,And it fucked everything up with lithuania
__ted,Year or two ago
__ted,Untouch updated country db
__ted,I remmeber
__ted,Oh
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
tucks.,!ctop rol
KSF Bot,
__ted,!crank
KSF Bot,
tucks.,!ctop lta
__ted,?
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop ltu
KSF Bot,Nothing found
tucks.,!ctop lt
